bankId,bankname,bankstate,year,public,totalassets,auditorname,auditorstate
1020180,BREMER FNCL CORP,MN,2005,1,6555895,DELOITTE & TOUCHE LLP,MN
1020180,BREMER FNCL CORP,MN,2006,1,6751806,DELOITTE & TOUCHE LLP,MN
1020180,BREMER FNCL CORP,MN,2007,1,7249650,DELOITTE & TOUCHE LLP,MN
1020180,BREMER FNCL CORP,MN,2008,1,7719803,DELOITTE & TOUCHE LLP,MN
1020180,BREMER FNCL CORP,MN,2009,1,7799981,DELOITTE & TOUCHE LLP,MN
1020180,BREMER FNCL CORP,MN,2010,1,7955211,DELOITTE & TOUCHE LLP,MN
1020180,BREMER FNCL CORP,MN,2011,1,8188047,DELOITTE & TOUCHE LLP,MN
1020180,BREMER FNCL CORP,MN,2012,1,8731784,DELOITTE & TOUCHE LLP,MN
1020180,BREMER FNCL CORP,MN,2013,1,8650905,DELOITTE & TOUCHE LLP,MN
1020180,BREMER FNCL CORP,MN,2014,1,9231165,DELOITTE AND TOUCHE LLP,MN
1020180,BREMER FNCL CORP,MN,2015,1,10723184,Deloitte and Touche LLP,MN
1020340,HARRIS BC,IL,2006,0,42447290,KPMG LLP,IL
1020340,HARRIS BC,IL,2007,0,42188189,KPMG LLP,IL
1020340,HARRIS BC,IL,2008,0,68185496,"KPMG, LLP",IL
1020340,HARRIS BC,IL,2009,0,44847746,"KPMG, LLP",ID
1020340,HARRIS BC,IL,2010,0,50850600,KPMG,IL
1020902,FIRST NAT OF NE,NE,2005,0,12578680,DELOITTE & TOUCHE,NE
1020902,FIRST NAT OF NE,NE,2006,0,13716520,"DELOITTE AND TOUCHE, LLP",NE
1020902,FIRST NAT OF NE,NE,2007,0,16020746,"DELOITTE AND TOUCHE, LLP",NE
1020902,FIRST NAT OF NE,NE,2008,0,16725869,"DELOITTE AND TOUCHE, LLP",NE
1020902,FIRST NAT OF NE,NE,2009,0,14739067,"DELOITTE AND TOUCHE, LLP",NE
1020902,FIRST NAT OF NE,NE,2010,0,14970124,"DELOITTE & TOUCHE, LLP",NE
1020902,FIRST NAT OF NE,NE,2011,0,15274648,"DELOITTE & TOUCHE, LLP",NE
1020902,FIRST NAT OF NE,NE,2012,0,16409360,"DELOITTE & TOUCHE, LLP",NE
1020902,FIRST NAT OF NE,NE,2013,0,16271487,"DELOITTE & TOUCHE, LLP",NE
1020902,FIRST NAT OF NE,NE,2014,0,17465465,"DELOITTE AND TOUCHE, LLP",NE
1020902,FIRST NAT OF NE,NE,2015,0,18346653,"Deloitte Touch, LLP",NE
1022764,CENTRAL PACIFIC FNCL CORP,HI,2005,1,5239139,KPMG LLP,HI
1022764,CENTRAL PACIFIC FNCL CORP,HI,2006,1,5487192,KPMG LLP,HI
1022764,CENTRAL PACIFIC FNCL CORP,HI,2007,1,5680386,KPMG LLP,HI
1022764,CENTRAL PACIFIC FC,HI,2008,1,5432361,KPMG LLP,HI
1022764,CENTRAL PACIFIC FC,HI,2009,1,4869522,KPMG LLC,HI
1022764,CENTRAL PACIFIC FC,HI,2010,1,3938051,KPMG LLC,HI
1022764,CENTRAL PACIFIC FC,HI,2011,1,4132865,KPMG LLC,HI
1022764,CENTRAL PACIFIC FC,HI,2012,1,4370368,KPMG LLC,HI
1022764,CENTRAL PACIFIC FC,HI,2013,1,4767447,KPMG LLC,HI
1022764,CENTRAL PACIFIC FC,HI,2014,1,4852987,KPMG LLC,HI
1022764,CENTRAL PACIFIC FC,HI,2015,1,5131288,KPMG LLC,HI
1023154,NEW MEXICO BANQUEST CORP,NM,2005,0,473683,BKD LLP,CO
1023154,NEW MEXICO BANQUEST CORP,NM,2006,0,540016,BKD LLP,CO
1023154,NEW MEXICO BANQUEST CORP,NM,2007,0,586317,GRANT THORNTON LLP,NM
1023154,NEW MEXICO BANQUEST CORP,NM,2008,0,632427,GRANT THORNTON LLP,NM
1023154,NEW MEXICO BANQUEST CORP,NM,2009,0,724185,GRANT THORNTON LLP,NM
1023154,NEW MEXICO BANQUEST CORP,NM,2010,0,711201,MOSS ADAMS LLP,NM
1023154,NEW MEXICO BANQUEST CORP,NM,2011,0,738338,MOSS ADAMS LLP,NM
1023154,NEW MEXICO BANQUEST CORP,NM,2012,0,784541,MOSS ADAMS LLP,NM
1023239,MERCHANTS BSHRS,VT,2005,1,1075211,KPMG,NY
1023239,MERCHANTS BSHRS,VT,2006,1,1136508,KPMG,NY
1023239,MERCHANTS BSHRS,VT,2007,1,1170211,KMPG,NY
1023239,MERCHANTS BSHRS,VT,2008,1,1341460,KPMG,NY
1023239,MERCHANTS BSHRS,VT,2010,1,1487652,KPMG,NY
1023239,MERCHANTS BSHRS,VT,2011,1,1611890,KPMG,VT
1023239,MERCHANTS BSHRS,VT,2012,1,1708578,KPMG,NY
1023239,MERCHANTS BSHRS,VT,2013,1,1730936,CROWE HORWATH LLP,OH
1023239,MERCHANTS BSHRS,VT,2014,1,1723484,CROWE HORWATH LLP,OH
1023239,MERCHANTS BSHRS,VT,2015,1,2021257,Crowe Horwath LLP,OH
1025309,BANK OF HI CORP,HI,2005,1,10187462,ERNST & YOUNG LLP,HI
1025309,BANK OF HI CORP,HI,2006,1,10571977,ERNST & YOUNG LLP,HI
1025309,BANK OF HI CORP,HI,2007,1,10472942,ERNST & YOUNG,HI
1025309,BANK OF HI CORP,HI,2008,1,10763475,ERNST & YOUNG,HI
1025309,BANK OF HI CORP,HI,2009,1,12414827,ERNST & YOUNG,HI
1025309,BANK OF HI CORP,HI,2010,1,13161967,"ERNST & YOUNG, LLP",HI
1025309,BANK OF HI CORP,HI,2011,1,13890116,ERNST & YOUNG LLP,HI
1025309,BANK OF HI CORP,HI,2012,1,13789923,ERNST & YOUNG LLP,HI
1025309,BANK OF HI CORP,HI,2013,1,14127598,ERNST & YOUNG LLP,HI
1025309,BANK OF HI CORP,HI,2014,1,14859360,"ERNST AND YOUNG, LLP",HI
1025309,BANK OF HI CORP,HI,2015,1,15501362,"Ernst  Young, LLP",HI
1025541,WESTAMERICA BC,CA,2005,1,5153560,KPMG LLP,CA
1025541,WESTAMERICA BC,CA,2006,1,4770897,KPMG LLP,CA
1025541,WESTAMERICA BC,CA,2007,1,4566337,KPMG LLP,CA
1025541,WESTAMERICA BC,CA,2008,1,4044273,KPMG LLP,CA
